uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,C_DENEVI,P3A2_2,P3A2_3,P3A3,P3A4,P3A5,P3A6,P3A7,P3A8_1,P3A8_2,P3A8_3,P3A9,P3A10,P3A11,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
4528_17_1,4528_17,4528,17,1,2,3,NA,3,4,NA,5,1,2,NA,NA,1,2,1,17,4,287,4528,831
4529_2_1,4529_2,4529,2,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,287,4529,467
4529_6_1,4529_6,4529,6,1,1,1,NA,9,4,NA,5,1,1,NA,NA,9,1,NA,17,4,287,4529,467
4530_12_2,4530_12,4530,12,2,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4530,230
4530_17_1,4530_17,4530,17,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4530,230
4530_18_1,4530_18,4530,18,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4530,230
4531_1_1,4531_1,4531,1,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,287,4531,571
4531_7_1,4531_7,4531,7,1,1,3,4,2,4,NA,5,1,1,NA,NA,1,2,1,17,4,287,4531,571
4533_6_1,4533_6,4533,6,1,1,2,NA,2,4,NA,5,1,1,NA,NA,2,2,1,17,4,287,4533,668
4533_14_1,4533_14,4533,14,1,1,1,2,2,4,NA,8,1,2,4,NA,1,2,8,17,4,287,4533,668
4534_2_1,4534_2,4534,2,1,1,1,NA,2,4,NA,1,1,1,3,NA,3,2,1,17,4,286,4534,488
4534_7_1,4534_7,4534,7,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4534,488
4534_12_1,4534_12,4534,12,1,1,1,NA,2,4,NA,5,1,1,4,NA,1,2,1,17,4,286,4534,488
4534_14_1,4534_14,4534,14,1,1,1,NA,2,3,NA,5,NA,1,NA,NA,1,1,NA,17,4,286,4534,488
4535_2_1,4535_2,4535,2,1,1,1,2,3,4,NA,5,1,1,NA,NA,3,1,NA,17,4,286,4535,187
