uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,N_INF,P3A1_1,P3A1_2,P4_1,P4_2_2,P7_1,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
57_5_1,57_5,57,5,1,1,1,1,NA,1,2,1,1,1,57,195
58_1_1,58_1,58,1,1,1,1,1,NA,1,2,1,1,2,58,211
58_2_1,58_2,58,2,1,2,2,NA,NA,2,1,1,1,2,58,211
58_3_1,58_3,58,3,1,2,2,NA,NA,2,2,1,1,2,58,211
58_5_1,58_5,58,5,1,1,1,1,NA,1,2,1,1,2,58,211
59_1_1,59_1,59,1,1,2,2,NA,NA,2,2,1,1,2,59,205
59_2_1,59_2,59,2,1,2,2,NA,NA,2,2,1,1,2,59,205
59_3_1,59_3,59,3,1,3,2,NA,NA,3,2,1,1,2,59,205
59_4_1,59_4,59,4,1,2,2,NA,NA,2,2,1,1,2,59,205
59_5_1,59_5,59,5,1,3,1,1,NA,1,2,1,1,2,59,205
60_1_1,60_1,60,1,1,1,2,NA,NA,1,2,1,1,2,60,217
60_2_1,60_2,60,2,1,1,2,NA,NA,1,2,1,1,2,60,217
60_3_1,60_3,60,3,1,2,1,1,NA,2,2,1,1,2,60,217
60_4_1,60_4,60,4,1,1,2,NA,NA,1,2,1,1,2,60,217
60_5_1,60_5,60,5,1,2,2,NA,NA,2,1,1,1,2,60,217
61_1_1,61_1,61,1,1,2,2,NA,NA,2,2,1,1,2,61,193
61_2_1,61_2,61,2,1,2,2,NA,NA,2,2,1,1,2,61,193
61_3_1,61_3,61,3,1,1,2,NA,NA,1,2,1,1,2,61,193
61_4_1,61_4,61,4,1,3,2,NA,NA,3,2,1,1,2,61,193
61_5_1,61_5,61,5,1,4,2,NA,NA,4,2,1,1,2,61,193
62_2_1,62_2,62,2,1,1,2,NA,NA,1,2,1,1,2,62,228
62_3_1,62_3,62,3,1,2,2,NA,NA,2,1,1,1,2,62,228
62_5_1,62_5,62,5,1,2,1,1,NA,2,2,1,1,2,62,228
63_1_1,63_1,63,1,1,1,2,NA,NA,1,2,1,1,2,63,217
63_2_1,63_2,63,2,1,1,1,2,NA,1,2,1,1,2,63,217
63_3_1,63_3,63,3,1,1,2,NA,NA,1,2,1,1,2,63,217
63_4_1,63_4,63,4,1,1,2,NA,NA,1,2,1,1,2,63,217
63_5_1,63_5,63,5,1,2,2,NA,NA,2,1,1,1,2,63,217
64_1_1,64_1,64,1,1,2,2,NA,NA,2,2,1,1,3,64,213
64_2_1,64_2,64,2,1,1,2,NA,NA,1,2,1,1,3,64,213
